AtcoCode,NaptanCode,CommonName,StopType,Easting,Northing,LocalityCode,Longitude,Latitude,Indicator,Town,Street,Status,LocalityName
700000000000,,Mount Eagles,BusCoachTramOnStreetPoint,326532,368923,N0000009,-6.0451461,54.5528029,,,,active,Belfast Metro Ops
700000000001,,Custom House Square,BusCoachTramOnStreetPoint,334277,374527,N0000009,-5.9229564,54.6011182,,,,active,Belfast Metro Ops
700000000002,,Lagmore Reservoir,BusCoachTramOnStreetPoint,326662,369169,N0000009,-6.0430204,54.5549769,,,,active,Belfast Metro Ops
700000000003,,Station Street,BusCoachTramOnStreetPoint,334561,374485,N0000009,-5.9185968,54.6006651,,,,active,Belfast Metro Ops
700000000004,,Teeling Avenue,BusCoachTramOnStreetPoint,326744,369147,N0000009,-6.0417732,54.5547645,,,,active,Belfast Metro Ops
700000000005,,Short Strand (Newtownards Road),BusCoachTramOnStreetPoint,335240,374451,N0000009,-5.9081132,54.6001795,,,,active,Belfast Metro Ops
700000000006,,Glendowan Park,BusCoachTramOnStreetPoint,326873,369055,N0000009,-6.0398123,54.5539022,,,,active,Belfast Metro Ops
700000000007,,Tower Street,BusCoachTramOnStreetPoint,335437,374413,N0000009,-5.9050767,54.5997905,,,,active,Belfast Metro Ops
700000000008,,Glenfearna,BusCoachTramOnStreetPoint,327329,369096,N0000009,-6.0327513,54.5541559,,,,active,Belfast Metro Ops
700000000009,,Templemore Ave [N'ards Road],BusCoachTramOnStreetPoint,335661,374372,N0000009,-5.901641,54.5993577,,,,active,Belfast Metro Ops
700000000010,,Lagmore Meadows,BusCoachTramOnStreetPoint,327408,368783,N0000009,-6.0316681,54.5513296,,,,active,Belfast Metro Ops
700000000011,,Dee Street,BusCoachTramOnStreetPoint,335893,374328,N0000009,-5.8980673,54.5988982,,,,active,Belfast Metro Ops
700000000012,,Lagmore Drive,BusCoachTramOnStreetPoint,327396,368597,N0000009,-6.0319322,54.5496591,,,,active,Belfast Metro Ops
700000000013,,Ribble Street,BusCoachTramOnStreetPoint,336188,374272,N0000009,-5.8935252,54.5983214,,,,active,Belfast Metro Ops
700000000014,,Lagmore Dale,BusCoachTramOnStreetPoint,327584,368463,N0000009,-6.0290867,54.5484088,,,,active,Belfast Metro Ops
