route_id,agency_id,route_short_name,route_long_name,route_type
MET_1A,MET,1A,City Centre - Carnmoney - Fairview Road - Glenville | Glenville - Fairview Road - Carnmoney - City Centre,3
MET_1J,MET,1J,City Centre - Royal Mail (Mallusk) | Royal Mail (Mallusk) - City Centre,3
MET_1E,MET,1E,City Centre - Roughfort | Roughfort - City Centre,3
MET_1C,MET,1C,City Centre - New Mossley - Fairview Road - Glenville | Glenville - Fairview Road - New Mossley - City Centre,3
MET_1D,MET,1D,City Centre - New Mossley - Mossley Glade | Mossley Glade - New Mossley - City Centre,3
MET_1K,MET,1K,City Centre - New Mossley - Manse Way - Mossley Glade | Mossley Glade - Manse Way - New Mossley - City Centre,3
MET_1F,MET,1F,City Centre - Mayfield - Blackrock | Blackrock - Mayfield - City Centre,3
MET_1M,MET,1M,City Centre - New Mossley - Manse Way,3
MET_1G,MET,1G,City Centre - New Mossley - Manse Way | Manse Way - New Mossley - City Centre,3
MET_2A,MET,2A,City Centre - Fairview Road | Fairview Road - City Centre,3
MET_2B,MET,2B,City Centre - Fairview Road | Fairview Road - City Centre,3
MET_2C,MET,2C,City Centre - Monkstown | Monkstown - City Centre,3
MET_2E,MET,2E,City Centre - Rathcoole - Monkstown | Monkstown - Rathcoole - City Centre,3
MET_2G,MET,2G,City Centre - Monkstown | Monkstown - City Centre,3
MET_2D,MET,2D,City Centre - Monkstown | Monkstown - City Centre,3
MET_2F,MET,2F,City Centre - Rathcoole - Rathfern - Monkstown | Monkstown - Rathfern - Rathcoole - City Centre,3
MET_2H,MET,2H,City Centre - Rathcoole - Rathfern | Rathfern - Rathcoole - City Centre,3
MET_2P,MET,2P,City Centre - Fairview Road | Fairview Road - City Centre,3
MET_2J,MET,2J,City Centre - Carr's Glen | Carr's Glen - City Centre,3
MET_2K,MET,2K,City Centre - Downview | Downview - City Centre,3
MET_2M,MET,2M,City Centre - Downview - Abbeycentre | Abbeycentre - Downview - City Centre,3
MET_3A,MET,3A,City Centre - Holywood Road - Knocknagoney | Knocknagoney - Holywood Road - City Centre,3
MET_3B,MET,3B,City Centre - Holywood Road - Knocknagoney | Knocknagoney - Holywood Road - City Centre,3
MET_3D,MET,3D,City Centre - Holywood Exchange | Holywood Exchange - City Centre,3
MET_3C,MET,3C,City Centre - Garnerville Road - Holywood Exchange | Holywood Exchange - Garnerville Road - City Centre,3
MET_3E,MET,3E,City Centre - Old Holywood Road - Holywood Exchange | Holywood Exchange - Old Holywood Road - City Centre,3
MET_3J,MET,3J,City Centre - Garnerville Road - Holywood Exchange | Holywood Exchange - Garnerville Road - City Centre,3
MET_3G,MET,3G,City Centre - Dundonald | Dundonald - City Centre,3
MET_3H,MET,3H,City Centre - Stormont | Stormont - City Centre,3
MET_3F,MET,3F,City Centre - Dundonald | Dundonald - City Centre,3
MET_G4A,MET,G4A,Dundonald P&R - Ballybeen,3
MET_G4B,MET,G4B,Dundonald P&R - Coopers Mill,3
MET_4D,MET,4D,City Centre - Tullycarnet - Dundonald | Dundonald - Tullycarnet - City Centre,3
MET_4E,MET,4E,City Centre - Gilnahirk | Gilnahirk - City Centre,3
MET_4C,MET,4C,City Centre - Tullycarnet - Millmount | Millmount - Tullycarnet - City Centre,3
MET_5A,MET,5A,City Centre - Braniel | Braniel - City Centre,3
MET_5C,MET,5C,City Centre - Forestside | Forestside - City Centre,3
MET_5B,MET,5B,Braniel - City Centre,3
MET_6A,MET,6A,City Centre - Forestside | Forestside - City Centre,3
MET_6D,MET,6D,City Centre - Belvoir - Newtownbreda Tesco | Newtownbreda Tesco - Belvoir - City Centre,3
MET_6C,MET,6C,City Centre - Belvoir - Beechill Road - Newtownbreda Tesco | Newtownbreda Tesco - Beechill Road - Belvoir - City Centre,3
MET_6E,MET,6E,City Centre - Mount Merrion - Four Winds | Four Winds - Mount Merrion - City Centre,3
MET_6F,MET,6F,City Centre - Mount Merrion - Upper Knockbreda Road | Upper Knockbreda Road - Mount Merrion - City Centre,3
MET_7A,MET,7A,City Centre - Four Winds | Four Winds - City Centre,3
MET_7B,MET,7B,City Centre - Four Winds - Laurelgrove | Laurelgrove - Four Winds - City Centre,3
MET_7D,MET,7D,City Centre - Mount Merrion - Four Winds - Laurelgrove | Laurelgrove - Four Winds - Mount Merrion - City Centre,3
MET_7C,MET,7C,City Centre - Mount Merrion - Four Winds | Four Winds - Mount Merrion - City Centre,3
MET_7H,MET,7H,City Centre - Forestside - Mount Merrion - Stormont | Stormont - Mount Merrion - Forestside - City Centre,3
MET_7G,MET,7G,City Centre - Mount Merrion - Braniel | Braniel - Mount Merrion - City Centre,3
MET_8A,MET,8A,City Centre - Stranmillis - Malone - Erinvale | Erinvale - Malone - Stranmillis - City Centre,3
MET_8B,MET,8B,City Centre - Malone - Erinvale | Erinvale - Malone - City Centre,3
MET_8D,MET,8D,City Centre - Stranmillis | Stranmillis - City Centre,3
MET_8C,MET,8C,City Centre - Malone - Ladybrook | Ladybrook - Malone - City Centre,3
MET_9A,MET,9A,City Centre - Conway | Conway - City Centre,3
MET_9B,MET,9B,City Centre - Balmoral (Sicily Park) | Balmoral (Sicily Park) - City Centre,3
MET_9C,MET,9C,City Centre - Balmoral (Sicily Park) - Conway | Conway - Balmoral (Sicily Park) - City Centre,3
MET_9G,MET,9G,City Centre - Boucher Road - Ladybrook | Ladybrook - Boucher Road - City Centre,3
MET_9E,MET,9E,City Centre - Boucher Road - Musgrave Park Hospital | Musgrave Park Hospital - Boucher Road - City Centre,3
MET_9H,MET,9H,City Centre - Park Centre | Park Centre - City Centre,3
